latitude,longitude,name,Temperature,Vegetation encroachment,Land Subsidence,Potential Fouling,Corrosion
16.2018478,77.28195398,Loc-1,,,,,1.0
16.20225723,77.27955486,Loc-2,,,,,1.0
16.20417844,77.27821501,Loc-3,,,,,1.0
16.20739083,77.27759867,Loc-4,,,,,1.0
16.21065987,77.27699207,Loc-5,,,,,1.0
16.21390636,77.27637149,Loc-6,,,,,1.0
16.21716228,77.27574415,Loc-7,,,,1.0,1.0
16.22046692,77.27513496,Loc-8,,,,1.0,1.0
16.22370743,77.27454002,Loc-9,,,,1.0,1.0
16.22697548,77.27394995,Loc-10,,,,1.0,1.0
16.23004868,77.27335718,Loc-11,,,,1.0,1.0
16.23310689,77.2727614,Loc-12,,,,1.0,1.0
16.23653117,77.27215921,Loc-13,,,,1.0,1.0
16.2398563,77.27153826,Loc-14,,,,1.0,1.0
16.24173199,77.27232926,Loc-15,,,,1.0,1.0
16.24513299,77.27123529,Loc-16,,,,1.0,1.0
16.2484709,77.27017425,Loc-17,,,,1.0,1.0
16.25188072,77.26904628,Loc-18,,,,1.0,1.0
16.25523703,77.26796155,Loc-19,,,,1.0,1.0
16.25869275,77.26683373,Loc-20,,,,1.0,1.0
16.26200094,77.26576435,Loc-21,,,,1.0,1.0
16.26534947,77.26472431,Loc-22,,,,1.0,1.0
16.2670683,77.26266862,Loc-23,,,,1.0,1.0
16.26969011,77.26011491,Loc-24,,,,1.0,1.0
16.2723583,77.25756244,Loc-25,,,,1.0,1.0
16.27497219,77.25512148,Loc-26,,,,1.0,1.0
16.27743374,77.25281892,Loc-27,,,,1.0,1.0
16.28015231,77.25021379,Loc-28,,,,1.0,1.0
16.28282071,77.2476367,Loc-29,,,,1.0,1.0
16.28548156,77.24507598,Loc-30,,,,1.0,1.0
16.28688028,77.24325746,Loc-31,,,,1.0,1.0
16.28970397,77.24093225,Loc-32,,,,1.0,1.0
16.29240211,77.23859929,Loc-33,,,,1.0,1.0
16.29517042,77.23627013,Loc-34,,,,1.0,1.0
16.29792163,77.23394541,Loc-35,,,,1.0,1.0
16.3006534,77.23156413,Loc-36,,,,1.0,1.0
16.30332677,77.22925198,Loc-37,,,,1.0,1.0
16.30608457,77.22698601,Loc-38,,,,1.0,1.0
16.30888386,77.22461148,Loc-39,,,,1.0,1.0
16.31070725,77.22335552,Loc-40,,,,1.0,1.0
16.31239519,77.2221776,Loc-41,,,,1.0,1.0
16.31479599,77.21956675,Loc-42,1.0,,,1.0,1.0
16.31723121,77.21695079,Loc-43,1.0,,,1.0,1.0
16.31960175,77.21429511,Loc-44,1.0,,,1.0,1.0
16.32201148,77.21164103,Loc-45,,,,1.0,1.0
16.32431077,77.20909214,Loc-46,,,,1.0,1.0
16.32667777,77.20648689,Loc-47,,,,1.0,1.0
16.32909638,77.20384109,Loc-48,,,,1.0,1.0
16.33146492,77.20121293,Loc-49,,,,1.0,1.0
16.33386515,77.19857907,Loc-50,,,,1.0,1.0
16.33626606,77.19591995,Loc-51,,,,1.0,1.0
16.33863728,77.19332372,Loc-52,,,,1.0,1.0
16.3410103,77.19071831,Loc-53,,,,1.0,
16.34335189,77.18811768,Loc-54,,,,1.0,
16.34575443,77.18545453,Loc-55,,,,1.0,
16.34819891,77.18277535,Loc-56,,,,1.0,
16.35060597,77.18015901,Loc-57,,,,1.0,
16.35298179,77.17731169,Loc-58,,,,1.0,
16.35537875,77.17465006,Loc-59,,,,1.0,
16.35782143,77.17214236,Loc-60,,,,1.0,
16.36020869,77.16958377,Loc-61,,,,1.0,
16.36259393,77.16691679,Loc-62,,,,1.0,
16.36515104,77.16408194,Loc-63,,,,1.0,
16.36744395,77.161567,Loc-64,,,,1.0,
16.36986931,77.15889091,Loc-65,,,,1.0,
16.37222852,77.15628548,Loc-66,,,,1.0,
16.37466081,77.1536078,Loc-67,,,,1.0,
16.37711203,77.15088203,Loc-68,1.0,,,1.0,
16.37950112,77.148189,Loc-69,,,,1.0,
16.38192522,77.1455659,Loc-70,,,,1.0,
16.38438978,77.14282946,Loc-71,,,,1.0,
16.38696038,77.13999212,Loc-72,,,,1.0,
16.38913494,77.13760202,Loc-73,,,,1.0,
16.39144966,77.13503936,Loc-74,,,,1.0,
16.39392289,77.13233106,Loc-75,1.0,,,1.0,
16.39672659,77.13252394,Loc-76,1.0,,,1.0,
16.3995563,77.1302286,Loc-77,,,,1.0,
16.4023916,77.12794281,Loc-78,,,,1.0,
16.40530077,77.12566785,Loc-79,1.0,,,1.0,
16.4081963,77.12338254,Loc-80,1.0,,,1.0,
16.41105898,77.12108585,Loc-81,1.0,,,1.0,
16.41391945,77.11882965,Loc-82,1.0,,,1.0,
16.41677611,77.11656189,Loc-83,1.0,,1.0,1.0,
16.41957195,77.11434165,Loc-84,,,1.0,1.0,
16.42216111,77.11233018,Loc-85,,,1.0,1.0,
16.4248403,77.11013656,Loc-86,,,1.0,1.0,
16.42768113,77.10788889,Loc-87,1.0,,1.0,1.0,
16.43046175,77.10565827,Loc-88,,,1.0,1.0,
16.43327779,77.10342119,Loc-89,,,,1.0,
16.43625122,77.10105868,Loc-90,1.0,,,1.0,
16.43893337,77.0989257,Loc-91,1.0,,,1.0,
16.44174354,77.09667429,Loc-92,,1.0,,1.0,
16.44457833,77.09444371,Loc-93,1.0,,,1.0,
16.44745454,77.09216733,Loc-94,1.0,,,1.0,
16.45033224,77.08971089,Loc-95,1.0,,,1.0,
16.45315754,77.08753654,Loc-96,1.0,,,1.0,
16.45606239,77.08524856,Loc-97,1.0,,,1.0,
16.45893834,77.08299041,Loc-98,1.0,,,1.0,
16.46183094,77.08068371,Loc-99,1.0,,,1.0,
16.46462528,77.07846375,Loc-100,1.0,,,1.0,
16.4674745,77.0761934,Loc-101,1.0,,,1.0,
16.47029145,77.07397579,Loc-102,1.0,,,1.0,
16.47311472,77.07169293,Loc-103,1.0,,,1.0,
16.4758924,77.069452,Loc-104,1.0,,,1.0,
16.47875272,77.06718983,Loc-105,1.0,,,1.0,
16.48156423,77.06495896,Loc-106,,,,1.0,
16.48439592,77.06267168,Loc-107,,,,1.0,
16.48721432,77.06050642,Loc-108,,,,1.0,
16.49008104,77.05818193,Loc-109,,,,1.0,
16.49295184,77.055881,Loc-110,,,,1.0,
16.49572232,77.05368267,Loc-111,,,,1.0,
16.49858343,77.05138846,Loc-112,1.0,,,1.0,
16.5014298,77.04914052,Loc-113,,,,1.0,
16.50441779,77.04677747,Loc-114,,,,1.0,
16.50720018,77.0446424,Loc-115,,,,1.0,
16.50998173,77.04250213,Loc-116,,,,1.0,
16.51279775,77.04032156,Loc-117,,,,1.0,
16.51635351,77.03758932,Loc-118,,,,1.0,
16.51971144,77.0349808,Loc-119,,,,1.0,
16.52247167,77.0328471,Loc-120,,,,1.0,
16.52596837,77.03213339,Loc-121,,,,1.0,
16.52948482,77.03136115,Loc-122,,,,1.0,
16.53285854,77.03009553,Loc-123,1.0,,,1.0,
16.53613494,77.02884939,Loc-124,,,,1.0,
16.55619539,77.02123141,Loc-130,1.0,,,,
16.57756998,77.0023479,Loc-138,1.0,,,,
16.58004391,76.99962623,Loc-139,1.0,,,,
16.58246336,76.99684396,Loc-140,1.0,,,,
16.60868981,76.96886719,Loc-151,,,,1.0,
16.61100083,76.9663633,Loc-152,,,,1.0,
16.61340951,76.96374952,Loc-153,,,,1.0,
16.61582946,76.96112294,Loc-154,,,,1.0,
16.61825997,76.9585136,Loc-155,,,,1.0,
16.6208025,76.95573022,Loc-156,,,,1.0,
16.62321555,76.95309986,Loc-157,,,,1.0,
16.62609994,76.95091044,Loc-158,,,,1.0,
16.62901731,76.94872964,Loc-159,,,,1.0,
16.63191747,76.94656411,Loc-160,,,,1.0,
16.63489581,76.94432659,Loc-161,,,,1.0,
16.6376674,76.94227158,Loc-162,,,,1.0,
16.67835795,76.90223816,Loc-179,,,1.0,,
16.68116668,76.90018989,Loc-180,,,1.0,,
16.68400317,76.89813485,Loc-181,,,1.0,,
16.68680571,76.8961069,Loc-182,,,1.0,,
16.689488,76.89413431,Loc-183,,,1.0,,
16.6924492,76.89198326,Loc-184,,,1.0,,
16.69472495,76.89032295,Loc-185,,,1.0,,
16.69733099,76.88836381,Loc-186,,,1.0,,
16.70033054,76.88614902,Loc-187,,,1.0,,
16.70326592,76.88392085,Loc-188,,,1.0,,
16.7055128,76.8822627,Loc-189,,,1.0,,
16.70989348,76.88181672,Loc-190,,,1.0,,
16.7133776,76.8814715,Loc-191,,,1.0,,
16.80112375,76.80609248,Loc-224,,,,,1.0
16.80336956,76.80337607,Loc-225,,,,,1.0
16.80556838,76.80061096,Loc-226,,,,,1.0
16.80787055,76.79781741,Loc-227,,,,,1.0
16.80796828,76.79511233,Loc-228,,,,,1.0
16.80803174,76.79208153,Loc-229,,,,,1.0
16.80960952,76.78939481,Loc-230,,,,,1.0
16.8324234,76.77351124,Loc-238,,,,1.0,
16.83508987,76.771603,Loc-239,,,,1.0,
16.83810447,76.76954812,Loc-240,,,,1.0,
16.8408489,76.76761751,Loc-241,,,,1.0,
16.85783537,76.75034442,Loc-248,1.0,,,,
16.86633363,76.73897233,Loc-252,1.0,,,,
16.86844636,76.73614069,Loc-253,1.0,,,,
16.88321362,76.71652675,Loc-260,1.0,,,,
16.88536424,76.71367436,Loc-261,1.0,,,,
16.88745968,76.71092718,Loc-262,1.0,,,,
16.89172989,76.70525516,Loc-264,1.0,,,,
16.89392299,76.70235388,Loc-265,1.0,,,,
16.92313665,76.67036696,Loc-277,1.0,,,,
16.92575857,76.66780584,Loc-278,1.0,,,,
16.94089505,76.65272935,Loc-284,1.0,,,,
16.94343375,76.65019785,Loc-285,1.0,,,,
16.95100368,76.64265573,Loc-288,,,,,1.0
16.9535807,76.64010139,Loc-289,,,,,1.0
16.95620178,76.63749584,Loc-290,,,,,1.0
16.95866689,76.63505489,Loc-291,,,,,1.0
16.96124663,76.63248525,Loc-292,,,,1.0,1.0
16.96368219,76.63005647,Loc-293,,,,1.0,1.0
16.96633926,76.6273905,Loc-294,,,,,1.0
17.03421048,76.55412246,Loc-323,1.0,,,,
17.09982487,76.49516385,Loc-348,,1.0,,,
17.13426504,76.47104264,Loc-360,,,1.0,,
17.13745358,76.46931368,Loc-361,,,1.0,,
17.14020647,76.46723251,Loc-362,,,1.0,,
17.14310319,76.46498422,Loc-363,,,1.0,1.0,
17.1461136,76.46276368,Loc-364,,,1.0,1.0,
17.15034649,76.46309541,Loc-365,,,1.0,1.0,
17.15336937,76.4606493,Loc-366,,,1.0,,
17.1560814,76.45845616,Loc-367,,,1.0,,
17.15900806,76.45603892,Loc-368,,,1.0,,
17.16167311,76.45382587,Loc-369,,,1.0,,1.0
17.16451757,76.45149125,Loc-370,,,1.0,,1.0
17.16682083,76.44924875,Loc-371,,,1.0,,1.0
17.16948292,76.44658266,Loc-372,,,1.0,,1.0
17.1722446,76.4438138,Loc-373,,,1.0,,1.0
17.17477835,76.44145418,Loc-374,,,1.0,,1.0
17.1774014,76.4388586,Loc-375,,,1.0,,1.0
17.17998834,76.43636659,Loc-376,,,1.0,,1.0
17.18257283,76.43381243,Loc-377,,,1.0,,1.0
17.18515639,76.43132772,Loc-378,,,1.0,,1.0
17.18782151,76.42874019,Loc-379,,,1.0,,1.0
17.19026527,76.4263386,Loc-380,1.0,,1.0,,1.0
17.19262196,76.42402108,Loc-381,,,1.0,,1.0
17.19548751,76.42124667,Loc-382,,,1.0,,1.0
17.19804636,76.41875709,Loc-383,,,1.0,,
17.20057174,76.41628794,Loc-384,,,1.0,,
17.20320855,76.41370108,Loc-385,,,1.0,,
17.20574871,76.41117479,Loc-386,,,1.0,,
17.20833142,76.40867862,Loc-387,,,1.0,,
17.21093924,76.4061624,Loc-388,,,1.0,,
17.21372154,76.40344627,Loc-389,,,1.0,,
17.21608703,76.40117139,Loc-390,,,1.0,,
17.21864572,76.39861155,Loc-391,,,1.0,,
17.2214256,76.39625202,Loc-392,,,1.0,,1.0
17.22416659,76.39389499,Loc-393,,,1.0,,1.0
17.2268812,76.39166983,Loc-394,,,1.0,,1.0
17.22943832,76.38952841,Loc-395,,,1.0,,1.0
17.23218057,76.38722631,Loc-396,,,1.0,,1.0
17.23474872,76.38501989,Loc-397,,,1.0,,1.0
17.23730472,76.38286281,Loc-398,,,1.0,,1.0
17.23999624,76.38060551,Loc-399,,,1.0,,1.0
17.24266689,76.37832372,Loc-400,1.0,,1.0,,1.0
17.24534867,76.376077,Loc-401,,,1.0,,1.0
17.24802555,76.37382236,Loc-402,,,1.0,,1.0
17.25067805,76.37153093,Loc-403,,,1.0,,1.0
17.25339338,76.36910694,Loc-404,,,1.0,,1.0
17.25604289,76.36667345,Loc-405,1.0,,1.0,,1.0
17.25876966,76.36419865,Loc-406,,,1.0,,1.0
17.26136218,76.36180207,Loc-407,,,1.0,,1.0
17.26400153,76.35939111,Loc-408,,,1.0,,1.0
17.26651601,76.35698854,Loc-409,,,1.0,,1.0
17.2691717,76.35455213,Loc-410,,,1.0,,1.0
17.27184538,76.35209241,Loc-411,,,1.0,,1.0
17.27438561,76.34976666,Loc-412,,,1.0,,1.0
17.27699254,76.34733835,Loc-413,,,1.0,,1.0
17.27968823,76.344815,Loc-414,,,1.0,,1.0
17.2823556,76.34249439,Loc-415,,,1.0,,1.0
17.285061,76.34018108,Loc-416,,,1.0,,1.0
17.28767604,76.3378633,Loc-417,,,1.0,,1.0
17.29033572,76.33552549,Loc-418,,,1.0,,1.0
17.2930131,76.33317302,Loc-419,,,1.0,,1.0
17.2956795,76.33080696,Loc-420,,,1.0,,1.0
17.29834557,76.32848995,Loc-421,,,1.0,,1.0
17.30105434,76.32608616,Loc-422,,,1.0,,1.0
17.3037123,76.32378203,Loc-423,,,1.0,,1.0
17.30643004,76.32141279,Loc-424,1.0,,1.0,,1.0
17.30914274,76.31924809,Loc-425,,,1.0,,1.0
17.31145566,76.31743514,Loc-426,,,1.0,,1.0
17.31427938,76.31523808,Loc-427,,,1.0,,1.0
17.31700741,76.31310872,Loc-428,,,1.0,,1.0
17.31971726,76.31097696,Loc-429,,,1.0,,1.0
17.32246719,76.30877296,Loc-430,,,1.0,,1.0
17.32527785,76.30652949,Loc-431,,,1.0,,1.0
17.32803699,76.30431167,Loc-432,,,1.0,,1.0
17.33090893,76.30207993,Loc-433,,,1.0,,1.0
17.3337013,76.29984981,Loc-434,,,1.0,,1.0
17.33655883,76.29756907,Loc-435,1.0,,1.0,,1.0
17.33938193,76.29531097,Loc-436,,,1.0,,1.0
