latitude,longitude,name
16.20183002774548,77.2828195578255,Gantry
16.20184779790339,77.28195398363444,Loc-1
16.20225722656699,77.27955485716048,Loc-2
16.20417844412276,77.27821501437958,Loc-3
16.20739082882058,77.27759867398464,Loc-4
16.21065986551065,77.27699206704207,Loc-5
16.21390636114108,77.27637148615379,Loc-6
16.21716228358905,77.27574414704051,Loc-7
16.22046692052323,77.27513496049339,Loc-8
16.22370743353515,77.2745400156497,Loc-9
16.22697547673858,77.2739499545502,Loc-10
16.23004867763821,77.27335718450271,Loc-11
16.23310689378201,77.27276139852054,Loc-12
16.23653117488174,77.27215921321559,Loc-13
16.23985629918438,77.27153825901004,Loc-14
16.24173198968548,77.2723292628007,Loc-15
16.24513298744441,77.27123529385916,Loc-16
16.24847090134264,77.2701742465796,Loc-17
16.25188072418029,77.26904628248867,Loc-18
16.2552370302812,77.26796155416461,Loc-19
16.25869275019511,77.26683373119127,Loc-20
16.26200094458406,77.26576434720342,Loc-21
16.26534947400906,77.26472431194178,Loc-22
16.26706830363056,77.26266862276675,Loc-23
16.26969011388027,77.26011491058759,Loc-24
16.27235830050889,77.25756243961641,Loc-25
16.2749721880391,77.25512148339406,Loc-26
16.27743373760399,77.2528189163642,Loc-27
16.28015230902583,77.25021378963461,Loc-28
16.28282071354209,77.24763670426572,Loc-29
16.28548156387941,77.24507598396023,Loc-30
16.28688028424092,77.24325746344726,Loc-31
16.28970397361702,77.24093225331985,Loc-32
16.29240210933675,77.23859929136924,Loc-33
16.29517042170166,77.23627012617727,Loc-34
16.29792162996104,77.2339454141239,Loc-35
16.30065339690718,77.23156413395145,Loc-36
16.30332677004447,77.22925197963339,Loc-37
16.30608456628167,77.22698600601187,Loc-38
16.3088838576605,77.22461147739698,Loc-39
16.31070725454058,77.22335551722932,Loc-40
16.31239519442116,77.22217759920716,Loc-41
16.31479599096228,77.2195667476557,Loc-42
16.31723120963408,77.21695078872614,Loc-43
16.31960174717592,77.21429510570894,Loc-44
16.32201147801326,77.21164102520527,Loc-45
16.3243107722731,77.20909213584369,Loc-46
16.32667777407954,77.20648688761896,Loc-47
16.32909637982226,77.20384108970553,Loc-48
16.33146492340349,77.20121292620159,Loc-49
16.33386515129428,77.19857906950055,Loc-50
16.33626605989016,77.19591995144192,Loc-51
16.3386372793178,77.19332371965044,Loc-52
16.34101030147155,77.19071831369953,Loc-53
16.34335188669409,77.18811767844065,Loc-54
16.34575443429499,77.18545452607401,Loc-55
16.34819891202028,77.1827753472785,Loc-56
16.35060597471641,77.18015900700532,Loc-57
16.35298179132744,77.17731169210299,Loc-58
16.35537874942094,77.17465006072727,Loc-59
16.35782142945469,77.17214236130408,Loc-60
16.36020868877758,77.16958376845791,Loc-61
16.36259392564105,77.16691679449086,Loc-62
16.36515103693549,77.16408194236422,Loc-63
16.36744395203314,77.16156700255857,Loc-64
16.36986931170653,77.15889091280435,Loc-65
16.3722285164264,77.15628548404375,Loc-66
16.3746608140596,77.15360779609554,Loc-67
16.37711202811069,77.15088203265546,Loc-68
16.37950112069132,77.14818900195195,Loc-69
16.38192522272963,77.1455659019619,Loc-70
16.38438977528087,77.14282945820526,Loc-71
16.38696038459841,77.13999211936142,Loc-72
16.38913494202543,77.13760202087863,Loc-73
16.39144965654036,77.13503935574745,Loc-74
16.39392288607129,77.13233105997007,Loc-75
16.39672659036534,77.13252393763113,Loc-76
16.39955630167907,77.13022860238063,Loc-77
16.40239160175398,77.12794281199658,Loc-78
16.40530077280048,77.12566785369627,Loc-79
16.40819630211434,77.12338254051065,Loc-80
16.4110589799223,77.12108584841805,Loc-81
16.41391945411182,77.1188296543366,Loc-82
16.41677611121919,77.11656188646938,Loc-83
16.4195719518281,77.11434165021082,Loc-84
16.42216110807912,77.11233018472436,Loc-85
16.42484030182992,77.11013655831869,Loc-86
16.42768112767398,77.10788888625355,Loc-87
16.43046175461861,77.1056582745122,Loc-88
16.43327779444935,77.10342118760681,Loc-89
16.43625122124184,77.10105868182822,Loc-90
16.43893336791202,77.09892570054748,Loc-91
16.44174353694055,77.09667429090128,Loc-92
16.44457833452205,77.09444371440614,Loc-93
16.44745454217433,77.09216732610936,Loc-94
16.45033224100597,77.08971089221747,Loc-95
16.45315754401906,77.08753653780565,Loc-96
16.45606238516304,77.08524856037239,Loc-97
16.45893834164806,77.08299040643217,Loc-98
16.46183094046454,77.0806837086347,Loc-99
16.46462528461583,77.0784637462185,Loc-100
16.46747449904113,77.07619340261843,Loc-101
16.4702914505496,77.07397578648039,Loc-102
16.47311472003317,77.07169293031995,Loc-103
16.47589239516235,77.06945199542513,Loc-104
16.4787527225528,77.0671898286685,Loc-105
16.48156422570229,77.06495896471766,Loc-106
16.48439591916348,77.06267167590629,Loc-107
16.48721432461068,77.06050641976978,Loc-108
16.49008104283611,77.0581819293959,Loc-109
16.49295183917085,77.05588100339493,Loc-110
16.49572232227868,77.05368267124749,Loc-111
16.49858343318065,77.05138846423444,Loc-112
16.50142979763725,77.04914052379868,Loc-113
16.50441778902297,77.04677747055644,Loc-114
16.50720017905864,77.04464239606236,Loc-115
16.50998173300389,77.04250212685672,Loc-116
16.5127977543027,77.04032155608466,Loc-117
16.51635351312299,77.03758932192595,Loc-118
16.51971143854563,77.03498079616296,Loc-119
16.52247167018486,77.03284709603034,Loc-120
16.52596837091821,77.03213339107087,Loc-121
16.52948481574454,77.03136115266548,Loc-122
16.53285854054002,77.03009552988343,Loc-123
16.53613494447426,77.02884938858763,Loc-124
16.53953386064156,77.02754499575674,Loc-125
